player_id,total_net_points,total_duration,total_stints,impact_per_60_sec,player_name
200757,5,2643,30,0.11350737797956867,Thabo Sefolosha
201586,2,1524,16,0.07874015748031496,Serge Ibaka
201934,1,689,10,0.08708272859216255,Hasheem Thabeet
202704,-4,1681,18,-0.14277215942891136,Reggie Jackson
203087,10,2176,27,0.2757352941176471,Jeremy Lamb
203103,9,962,12,0.5613305613305614,Perry Jones III
2570,3,1745,15,0.10315186246418338,Kendrick Perkins
42531,-2,1343,12,-0.08935219657483247,Bo McCalebb
42535,-5,962,15,-0.31185031185031187,Melih Mahmutoglu
42536,0,1483,16,0.0,42536
42538,-3,1142,14,-0.1576182136602452,Gasper Vidmar
42540,0,1172,11,0.0,Luka Zoric
42541,-5,1153,15,-0.2601908065915004,James Birsen
42542,-4,1198,17,-0.2003338898163606,Kenan Sipahi
42544,0,1735,16,0.0,Bojan Bogdanovic
42545,-2,1426,13,-0.08415147265077139,Emir Preldzic
